56,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,errwod,uptime,32,Sec,0,NONE,0,0,0,uptime,This is the IHU uptime in seconds since the last reset
1,errwod,resetCnt,16,Resets,0,NONE,0,0,0,resetCnt,Total number of times IHU has reset since initial on-orbit startup
2,errwod,protocolVersion,8,-,0,NONE,0,0,0,Downlink Spec Version,LS4Bits = minor & MS3bits=major
3,errwod,versionMajor,8,-,0,NONE,0,0,0,Software Major Version,None
4,errwod,versionMinor,8,-,0,NONE,0,0,0,Sofwtare Minor Version,None
5,errwod,spacecraftMode,8,-,10,Telem & Control,1,1,0,Spacecraft Mode,The spacecraft mode e.g. SAFE MODE
6,errwod,WODTimestampUptime,32,s,0,Telem & Control,1,11,0,Uptime,Time Whole Orbit Data was collected
7,errwod,WODTimestampReset,16,-,0,Telem & Control,1,12,0,Data Capture Time,Time Whole Orbit Data was collected
8,errwod,WodCRCError,8,-,0,Telem & Control,1,13,0,CRC Error,CRC Error for the WOD Payload
9,errwod,pad5,8,-,0,NONE,0,0,0,Filler,Pad
10,errwod,wdReports,9,-,2,Computer,2,1,0,Watchdog Tasks,x
11,errwod,errorCode,5,-,2,Computer,2,2,0,Cause of reset,x
12,errwod,taskNumber,4,-,2,Computer,2,3,0,Task at reset,Task executing at reset
13,errwod,previousTask,4,-,2,Computer,2,4,0,Previous task,Previous task before reset
14,errwod,earlyResetCount,3,-,2,Computer,2,5,0,Resets in a row,Resets in a row that have been too soon
15,errwod,wasStillEarlyInBoot,1,-,2,Computer,2,6,0,Early reset,Was this reset still early in boot
16,errwod,valid,1,-,1,Computer,2,7,0,Data Valid,x
17,errwod,pad6,5,-,0,NONE,0,0,0,pad to 32 bits,x
18,errwod,errorData,32,-,2,Computer,2,8,0,Error Data,x
19,errwod,RAMCorAddr1,32,-,0,Memory,3,1,0,Primary SRAM Corrected Addr 1,x
20,errwod,RAMCorAddr2,32,-,0,Memory,3,2,0,Primary SRAM Corrected Addr 2,x
21,errwod,ROMCorAddr1,32,-,0,Memory,3,3,0,Primary Flash Corrected Addr 1,x
22,errwod,ROMCorAddr2,32,-,0,Memory,3,4,0,Primary Flash Corrected Addr 2,x
23,errwod,DCTCmdFailCRCCnt,8,-,0,Commanding,5,1,0,Cmd CRC Fails,Count of commands failing CRC check
24,errwod,DCTCmdFailTimeCnt,8,-,0,Commanding,5,2,0,Cmd Time Fails,Count of commands failing the time check
25,errwod,DCTCmdFailAuthenticateCnt,8,-,0,Commanding,5,3,0,Cmd Auth Fails,Count of commands failing authentication
26,errwod,DCTCmdFailCommandCnt,8,-,0,Commanding,5,4,0,Cmd Fail count,Count of commands failing 
27,errwod,DCTCmdFailNamespaceCnt,8,-,0,Commanding,5,5,0,Cmds wrong NS,Count of commands with wrong namespace
28,errwod,I2C1ErrorCnt,8,-,0,Buses,4,1,0,I2C1 errors,I2C1 errors
29,errwod,I2C2ErrorCnt,8,-,0,Buses,4,2,0,I2C2 errors,I2C2 errors
30,errwod,I2C1ResetCnt,8,-,0,Buses,4,3,0,I2C1 resets,I2C1 resets
31,errwod,I2C2ResetCnt,8,-,0,Buses,4,4,0,I2C2 resets,I2C2 resets
32,errwod,I2C1RetryCnt,8,-,0,Buses,4,5,0,I2C1 retires,I2C1 retires
33,errwod,I2C2RetryCnt,8,-,0,Buses,4,6,0,I2C2 retries,I2C2 retries
34,errwod,SPIRetryCnt,8,-,0,Buses,4,7,0,SPI retrries,SPI retrries
35,errwod,MramCRCCnt,8,-,0,Memory,3,5,0,MRAM fails,MRAM fails
36,errwod,MramRdErrorCnt,8,-,0,Memory,3,6,0,MRAM Read errs,MRAM Read errs
37,errwod,MramWtErrorCnt,8,-,0,Memory,3,7,0,MRAM Write errs,MRAM Write errs
38,errwod,FlashCorCnt,8,-,0,Memory,3,8,0,RT1FlashCorrectable Count,RT1FlashCorrectable Count
39,errwod,RamEvenCorCnt,8,-,0,Memory,3,9,0,RT1 Ram Even Bank Correctable Count,RT1 Ram Even Bank Correctable Count
40,errwod,RamOddCorCnt,8,-,0,Memory,3,10,0,RT1 Ram Odd Bank Correctable Count,RT1 Ram Odd Bank Correctable Count
41,errwod,PLLSlipCnt,8,-,0,Computer,2,9,0,RT1PLLSlip,RT1PLLSlip
42,errwod,ClockMonitorFailCnt,8,-,0,Computer,2,10,0,RT1ClockMonitorFail,RT1ClockMonitorFail
43,errwod,VIMRamParityCnt,8,-,0,Memory,3,11,0,RT1VIMRamParity,RT1VIMRamParity
44,errwod,CAN1RamParityCnt,8,-,0,Memory,3,12,0,RT1CAN1RamParity,RT1CAN1RamParity
45,errwod,CAN2RamParityCnt,8,-,0,Memory,3,13,0,RT1CAN2RamParity,RT1CAN2RamParity
46,errwod,DCC1ErrorCnt,8,-,0,Memory,3,14,0,RT1DCC1Error,RT1DCC1Error
47,errwod,DCC2ErrorCnt,8,-,0,Memory,3,15,0,RT1DCC2Error,RT1DCC2Error
48,errwod,N2HET2RamParityCnt,8,-,0,Computer,2,11,0,RT1N2HET2RamParity,RT1N2HET2RamParity
49,errwod,IOMMAccvioCnt,8,-,0,Computer,2,12,0,RT1IOMMAccvio,RT1IOMMAccvio
50,errwod,nonFatalCnt,8,-,0,Computer,2,13,0,Non-fatal error count,Non-fatal error count
51,errwod,SWVersion,16,-,0,Computer,2,14,0,RTIHU1 Version Number,RTIHU1 Version Number
52,errwod,TxDroppedPkts,8,-,2,Computer,2,15,0,Dropped Pkts,Dropped Pkts
53,errwod,RTOSfailure,8,-,2,Computer,2,16,0,RTOS Failures,RTOS Errs
54,errwod,REDFSIOerror,8,-,2,Computer,2,17,0,REDFS Errors,RED File System Errors
55,errwod,pad7,24,-,0,NONE,0,0,0,Fill to 32-bits,x
